total training instances: 30601
Epoch 1 [13.5 s]	loss=1.3259 [0.0 s]
Epoch 2 [1.0 s]	loss=1.2130 [0.0 s]
Epoch 3 [0.9 s]	loss=1.1485 [0.0 s]
Epoch 4 [0.8 s]	loss=1.0728 [0.0 s]
Epoch 5 [0.7 s]	loss=0.9937 [0.0 s]
Epoch 6 [0.8 s]	loss=0.9155 [0.0 s]
Epoch 7 [0.8 s]	loss=0.8393 [0.0 s]
Epoch 8 [0.8 s]	loss=0.7639 [0.0 s]
Epoch 9 [0.9 s]	loss=0.6975 [0.0 s]
Epoch 10 [0.9 s]	loss=0.6370, map=0.0058, prec@1=0.0038, prec@5=0.0022, prec@10=0.0019, recall@1=0.0019, recall@5=0.0054, recall@10=0.0095, [168.8 s]
Epoch 11 [1.1 s]	loss=0.5853 [0.0 s]
Epoch 12 [0.9 s]	loss=0.5401 [0.0 s]
Epoch 13 [1.0 s]	loss=0.4975 [0.0 s]
Epoch 14 [1.0 s]	loss=0.4602 [0.0 s]
Epoch 15 [1.0 s]	loss=0.4235 [0.0 s]
Epoch 16 [0.9 s]	loss=0.3957 [0.0 s]
Epoch 17 [1.0 s]	loss=0.3706 [0.0 s]
Epoch 18 [1.3 s]	loss=0.3455 [0.0 s]
Epoch 19 [1.7 s]	loss=0.3224 [0.0 s]
Epoch 20 [1.0 s]	loss=0.3007, map=0.0050, prec@1=0.0016, prec@5=0.0027, prec@10=0.0021, recall@1=0.0008, recall@5=0.0068, recall@10=0.0103, [163.6 s]
Epoch 21 [8.3 s]	loss=0.2810 [0.0 s]
Epoch 22 [7.4 s]	loss=0.2631 [0.0 s]
Epoch 23 [6.0 s]	loss=0.2470 [0.0 s]
Epoch 24 [4.9 s]	loss=0.2319 [0.0 s]
Epoch 25 [4.4 s]	loss=0.2151 [0.0 s]
Epoch 26 [4.6 s]	loss=0.2055 [0.0 s]
Epoch 27 [3.6 s]	loss=0.1927 [0.0 s]
Epoch 28 [2.9 s]	loss=0.1836 [0.0 s]
Epoch 29 [3.4 s]	loss=0.1735 [0.0 s]
Epoch 30 [3.2 s]	loss=0.1646, map=0.0062, prec@1=0.0049, prec@5=0.0029, prec@10=0.0022, recall@1=0.0024, recall@5=0.0073, recall@10=0.0112, [159.7 s]
Epoch 31 [2.6 s]	loss=0.1556 [0.0 s]
Epoch 32 [1.5 s]	loss=0.1487 [0.0 s]
Epoch 33 [1.7 s]	loss=0.1429 [0.0 s]
Epoch 34 [1.1 s]	loss=0.1370 [0.0 s]
Epoch 35 [1.2 s]	loss=0.1306 [0.0 s]
Epoch 36 [1.0 s]	loss=0.1245 [0.0 s]
Epoch 37 [1.0 s]	loss=0.1191 [0.0 s]
Epoch 38 [1.4 s]	loss=0.1122 [0.0 s]
Epoch 39 [1.3 s]	loss=0.1095 [0.0 s]
Epoch 40 [1.1 s]	loss=0.1040, map=0.0050, prec@1=0.0027, prec@5=0.0027, prec@10=0.0023, recall@1=0.0014, recall@5=0.0068, recall@10=0.0114, [156.1 s]
Epoch 41 [1.5 s]	loss=0.1009 [0.0 s]
Epoch 42 [1.1 s]	loss=0.0955 [0.0 s]
Epoch 43 [1.2 s]	loss=0.0928 [0.0 s]
Epoch 44 [1.5 s]	loss=0.0899 [0.0 s]
Epoch 45 [1.4 s]	loss=0.0864 [0.0 s]
Epoch 46 [1.2 s]	loss=0.0820 [0.0 s]
Epoch 47 [1.2 s]	loss=0.0792 [0.0 s]
Epoch 48 [1.3 s]	loss=0.0774 [0.0 s]
Epoch 49 [1.4 s]	loss=0.0762 [0.0 s]
Epoch 50 [1.0 s]	loss=0.0730, map=0.0060, prec@1=0.0049, prec@5=0.0029, prec@10=0.0022, recall@1=0.0024, recall@5=0.0073, recall@10=0.0109, [147.8 s]
